name,id,genre
24kGoldn,6fWVd57NKTalqvmjRd2t8Z,"['cali rap', 'pop', 'pop rap', 'rap']"
iann dior,6ASri4ePR7RlsvIQgWPJpS,"['melodic rap', 'pop', 'pop rap']"
Calvin Harris,7CajNmpbOovFoOoasH2HaY,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"['dance pop', 'pop', 'uk pop']"
Farruko,329e4yvIujISKGKz1BZZbO,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
NEIKED,5H6xmHXjsq98NLbEjuE29f,"['dance pop', 'edm', 'pop', 'pop dance', 'scandipop', 'tropical house']"
Mae Muller,1BEUkE2CSUgHTLSBMZdnFB,"['uk contemporary r&b', 'uk pop']"
Polo G,6AgTAQt8XS6jRWi4sX7w49,['chicago rap']
Kesha,6LqNN22kT3074XbTVUrhzX,"['dance pop', 'pop', 'post-teen pop']"
Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,"['lgbtq+ hip hop', 'pop']"
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,"['deep underground hip hop', 'kentucky hip hop', 'pop', 'rap']"
Lauren Spencer Smith,79AyR6ATpj2LTPxfb6FX50,"['alt z', 'gen z singer-songwriter', 'pop']"
Nicky Youre,7qmpXeNz2ojlMl2EEfkeLs,['pop']
